Plot,maxaug_c,mindec_c,continen,precip_cm,N
823,24,-1,25,161,2.09
826,25,1,24,343,3.16
827,24,-6,30,99,2.56
829,24,-7,31,109,2
831,22,-6,28,125,1.92
834,22,-6,28,131,2.39
835,22,-6,28,131,2.39
837,24,-7,31,129,2.39
840,25,-6,31,110,1.99
842,24,-6,30,109,1.93
844,26,-8,34,51,1.54
849,23,-6,29,140,2.08
851,26,-7,33,82,2.09
853,24,-6,30,74,1.97
855,23,-6,29,82,1.97
856,22,-6,28,150,2.45
858,22,-6,28,145,2.14
860,24,-6,30,111,1.5
862,25,-6,31,71,1.97
864,26,-8,34,68,1.94
866,24,-6,30,65,1.97
870,23,-6,29,141,1.82
872,26,-7,33,95,1.71
874,27,-7,34,57,1.56
876,27,-8,35,53,1.57
877,28,-8,36,48,1.46
881,22,-8,30,75,2.28
882,24,2,22,267,2.3
884,25,-7,32,104,1.61
886,26,-7,33,54,1.55
887,27,-8,35,50,1.46
891,27,-8,35,56,1.57
893,27,-8,35,51,1.32
895,25,3,22,252,2.3
896,22,-6,28,167,1.82
898,27,-7,34,52,1.74
902,26,-8,34,60,1.54
904,27,-8,35,53,1.48
905,26,-8,34,64,1.67
907,28,-8,36,52,1.56
908,26,3,23,391,3.69
910,23,-6,29,162,1.85
912,24,-6,30,132,2.21
914,27,-8,35,61,1.62
915,27,-8,35,57,1.57
916,26,-8,34,63,1.57
917,27,-8,35,56,1.57
919,26,-7,33,64,1.58
921,27,-8,35,57,1.56
923,27,-8,35,57,1.56
925,27,-8,35,56,1.52
927,23,4,19,399,3.6
929,25,-1,26,129,2.79
930,25,-1,26,124,2.85
932,26,-1,27,106,2.85
933,23,-6,29,159,2.03
934,26,-7,33,87,2.03
936,26,-8,34,75,1.66
937,26,-8,34,70,1.47
938,27,-8,35,53,1.57
939,27,-8,35,56,1.68
940,27,-8,35,58,1.68
942,28,-8,36,52,1.58
943,26,-8,34,62,1.6
946,27,-8,35,57,1.61
947,28,-1,29,114,2.85
948,28,-1,29,120,2.55
950,24,-3,27,147,2.63
951,25,-7,32,102,1.74
953,25,-6,31,111,1.56
954,26,-8,34,92,1.75
955,27,-8,35,67,1.47
956,27,-8,35,57,1.47
957,27,-8,35,57,1.6
959,27,-8,35,57,1.52
961,28,-8,36,52,1.58
963,28,-1,29,116,2.62
