Sensitivity,Pollutant,Area,Functional Group,SciCode,SciName
Sensitive,N,East,large matrix,Ahtaur,Ahtiana aurescens
Sensitive,N,East,forage,Brycap,Bryoria capillaris
Sensitive,N,East,forage,Bryfur,Bryoria furcellata
Sensitive,N,East,forage,Bryfus,Bryoria fuscescens
Sensitive,N,East,forage,Brynad,Bryoria nadvornikiana
Sensitive,N,East,forage,Brytri,Bryoria trichodes
Sensitive,N,East,large matrix,Cetchi,Cetrelia chicitae
Sensitive,N,East,large matrix,Cetoli,Cetrelia olivetorum
Sensitive,N,East,small matrix,Clacen,Cladonia cenotea
Sensitive,N,East,small matrix,Clachl,Cladonia chlorophaea
Sensitive,N,East,small matrix,Clacrit,Cladonia cristatella
Sensitive,N,East,small matrix,Clagray,Cladonia grayi
Sensitive,N,East,small matrix,Clarei,Cladonia rei
Sensitive,N,East,small matrix,Clasqu,Cladonia squamosa
Sensitive,N,East,cyanolichen,Colnig,Collema nigrescens
Sensitive,N,East,cyanolichen,Colsubf,Collema subflaccidum
Sensitive,N,East,large matrix,Evemes,Evernia mesomorpha
Sensitive,N,East,large matrix,Hypkro,Hypogymnia krogiae
Sensitive,N,East,large matrix,Hypphy,Hypogymnia physodes
Sensitive,N,East,large matrix,Hyptub,Hypogymnia tubulosa
Sensitive,N,East,large matrix,Hyptrev,Hypotrachyna revoluta
Sensitive,N,East,large matrix,Imsale,Imshaugia aleurites
Sensitive,N,East,cyanolichen,Lepburn,Leptogium burnetiae
Sensitive,N,East,cyanolichen,Lepcya,Leptogium cyanescens
Sensitive,N,East,cyanolichen,Lepsat,Leptogium saturninum
Sensitive,N,East,cyanolichen,Lobpul,Lobaria pulmonaria
Sensitive,N,East,cyanolichen,Lobque,Lobaria quercizans
Sensitive,N,East,small matrix,Melesubu,Melanelixia subaurifera
Sensitive,N,East,small matrix,Melolia,Melanohalea olivacea
Sensitive,N,East,small matrix,Melosep,Melanohalea septentrionalis
Sensitive,N,East,small matrix,Mensub,Menegazzia subsimilis
Sensitive,N,East,small matrix,Myegal,Myelochroa galbina
Sensitive,N,East,cyanolichen,Nephel,Nephroma helveticum
Sensitive,N,East,cyanolichen,Nephel,Nephroma helveticum subsp. sipeanum
Sensitive,N,East,cyanolichen,Nepres,Nephroma resupinatum
Sensitive,N,East,cyanolichen,Pancon,Pannaria conoplea
Sensitive,N,East,large matrix,Parsqu,Parmelia squarrosa
Sensitive,N,East,large matrix,Parsul,Parmelia sulcata
Sensitive,N,East,large matrix,Parltri,Parmeliella triptophylla
Sensitive,N,East,small matrix,Parpamb,Parmeliopsis ambigua
Sensitive,N,East,small matrix,Parpcap,Parmeliopsis capitata
Sensitive,N,East,small matrix,Parphyp,Parmeliopsis hyperopta
Sensitive,N,East,large matrix,Plagla,Platismatia glauca
Sensitive,N,East,large matrix,Platuc,Platismatia tuckermanii
Sensitive,N,East,cyanolichen,Pseccro,Pseudocyphellaria crocata
Sensitive,N,East,small matrix,Pyxsor,Pyxine sorediata
Sensitive,N,East,forage,Ramame,Ramalina americana
Sensitive,N,East,forage,Ramdil,Ramalina dilacerata
Sensitive,N,East,large matrix,Tucame,Tuckermannopsis americana
Sensitive,N,East,large matrix,Tuccil,Tuckermannopsis ciliaris
Sensitive,N,East,large matrix,Tucorb,Tuckermannopsis orbata
Sensitive,N,East,forage,Usnea,Usnea
Sensitive,N,East,forage,Usnfil,Usnea filipendula
Sensitive,N,East,forage,Usnhir,Usnea hirta
Sensitive,N,East,forage,Usnlon,Usnea longissima
Sensitive,N,East,forage,Usnsubfl,Usnea subfloridana
Sensitive,N,East,forage,Usntric,Usnea trichodea
Sensitive,N,East,forage,Usncoak,Usnocetraria oakesiana
Sensitive,N,East,large matrix,Vulpin,Vulpicida pinastri
Intermediate,N,East,small matrix,Clasca,Cladonia scabriuscula
Intermediate,N,East,forage,Usnglae,Usnea glabrescens
Intermediate,N,East,forage,Usncav,Usnea cavernosa
Intermediate,N,East,large matrix,Tucsep,Tuckermannopsis sepincola
Intermediate,N,East,forage,Ramint,Ramalina intermedia
Intermediate,N,East,small matrix,Clacor,Cladonia cornuta
Intermediate,N,East,cyanolichen,Neppar,Nephroma parile
Intermediate,N,East,small matrix,Claple,Cladonia pleurota
Intermediate,N,East,small matrix,Meloexau,Melanohalea exasperatula
Intermediate,N,East,large matrix,Hetspe,Heterodermia speciosa
Intermediate,N,East,small matrix,Clamul,Cladonia multiformis
Intermediate,N,East,large matrix,Parmcrin,Parmotrema crinitum
Intermediate,N,East,small matrix,Clapyx,Cladonia pyxidata
Intermediate,N,East,small matrix,Phahis,Phaeophyscia hispidula
Intermediate,N,East,small matrix,Phycper,Physconia perisidiosa
Intermediate,N,East,small matrix,Polpol,Polycauliona polycarpa
Intermediate,N,East,small matrix,Phahirt,Phaeophyscia hirtella
Intermediate,N,East,small matrix,Phyaip,Physcia aipolia
Intermediate,N,East,small matrix,Melesubr,Melanelixia subargentifera
Intermediate,N,East,small matrix,Cladig,Cladonia digitata
Intermediate,N,East,small matrix,Candfib,Candelaria fibrosa
Intermediate,N,East,forage,Ramsin,Ramalina sinensis
Intermediate,N,East,large matrix,Flaufla,Flavopunctelia flaventior
Intermediate,N,East,small matrix,Xanfal,Xanthomendoza fallax
Intermediate,N,East,small matrix,Phyads,Physcia adscendens
Intermediate,N,East,large matrix,Flausorc,Flavopunctelia soredica
Intermediate,N,East,small matrix,Phahirs,Phaeophyscia hirsuta
Intermediate,N,East,small matrix,Phapus,Phaeophyscia pusilloides
Intermediate,N,East,small matrix,Phacil,Phaeophyscia ciliata
Intermediate,N,East,small matrix,Physte,Physcia stellaris
Intermediate,N,East,large matrix,Punbol,Punctelia bolliana
Intermediate,N,East,small matrix,Phylmel,Physciella melanchra
Intermediate,N,East,large matrix,Parsax,Parmelia saxatilis
Intermediate,N,East,small matrix,Candcon,Candelaria concolor
Tolerant,N,East,small matrix,Meleful,Melanelixia fuliginosa
Tolerant,N,East,cyanolichen,Pseecla,Pseudevernia cladonia
Tolerant,N,East,large matrix,Parmpra,Parmotrema praesorediosum
Tolerant,N,East,large matrix,Parmsubr,Parmotrema subrigidum
Tolerant,N,East,large matrix,Parmtin,Parmotrema tinctorum
Tolerant,N,East,small matrix,Phycri,Physcia crispa
Tolerant,N,East,large matrix,Parmram,Parmotrema rampoddense
Tolerant,N,East,large matrix,Hetalb,Heterodermia albicans
Tolerant,N,East,cyanolichen,Lepaus,Leptogium austroamericanum
Tolerant,N,East,small matrix,Bulsco,Bulbothrix scortella
Tolerant,N,East,large matrix,Parmxan,Parmotrema xanthinum
Tolerant,N,East,large matrix,Parmsubt,Parmotrema subtinctorium
Tolerant,N,East,large matrix,Pamrlou,Parmotrema louisianae
Tolerant,N,East,large matrix,Canpcar,Canoparmelia caroliniana
Tolerant,N,East,large matrix,Parmdil,Parmotrema dilatatum
Tolerant,N,East,large matrix,Parmperf,Parmotrema perforatum
Tolerant,N,East,large matrix,Parmsubm,Parmotrema submarginale
Tolerant,N,East,small matrix,Cocpal,Coccocarpia palmicola
Tolerant,N,East,large matrix,Tucfen,Tuckermanella fendleri
Tolerant,N,East,forage,Usnmir,Usnea mirabilis
Tolerant,N,East,large matrix,Punred,Punctelia reddenda
Tolerant,N,East,small matrix,Phyneo,Physcia neogaea
Tolerant,N,East,forage,Usnstr,Usnea strigosa
Tolerant,N,East,large matrix,Parmret,Parmotrema reticulatum
Tolerant,N,East,large matrix,Hetobs,Heterodermia obscurata
Tolerant,N,East,large matrix,Parmsubi,Parmotrema subisidiosum
Tolerant,N,East,large matrix,Parmult,Parmotrema ultralucens
Tolerant,N,East,large matrix,Hetleu,Heterodermia leucomela
Tolerant,N,East,large matrix,Parmeur,Parmotrema eurysacum
Tolerant,N,East,cyanolichen,Pseecon,Pseudevernia consocians
Tolerant,N,East,large matrix,Hethyp,Heterodermia hypoleuca
Tolerant,N,East,small matrix,Phycent,Physconia enteroxantha
Tolerant,N,East,forage,Usnrub,Usnea rubicunda
Tolerant,N,East,large matrix,Hetcas,Heterodermia casarettiana
Tolerant,N,East,forage,Usnmut,Usnea mutabilis
Tolerant,N,East,large matrix,Parmhypo,Parmotrema hypoleucinum
Tolerant,N,East,large matrix,Imspla,Imshaugia placorodia
Tolerant,N,East,large matrix,Hyptmin,Hypotrachyna minarum
Tolerant,N,East,large matrix,Parmgar,Parmotrema gardneri
Tolerant,N,East,small matrix,Cladid,Cladonia didyma
Tolerant,N,East,small matrix,Cladid,Cladonia didyma var. vulcanica
Tolerant,N,East,large matrix,Parmcet,Parmotrema cetratum
Tolerant,N,East,large matrix,Hypthor,Hypotrachyna horrescens
Tolerant,N,East,small matrix,Phyiame,Physcia americana
Tolerant,N,East,large matrix,Pungra,Punctelia graminicola
Tolerant,N,East,large matrix,Hetgra,Heterodermia granulifera
Tolerant,N,East,forage,Usncor,Usnea cornuta
Tolerant,N,East,small matrix,Hypesyn,Hyperphyscia syncolla
Tolerant,N,East,small matrix,Anapal,Anaptychia palmulata
Tolerant,N,East,forage,Usnsubsc,Usnea subscabrosa
Tolerant,N,East,small matrix,Myeaur,Myelochroa aurulenta
Tolerant,N,East,large matrix,Hetsqu,Heterodermia squamulosa
Tolerant,N,East,small matrix,Clamac,Cladonia macilenta var. bacillaris
Tolerant,N,East,small matrix,Clacae,Cladonia caespiticia
Tolerant,N,East,small matrix,Clacyl,Cladonia cylindrica
Tolerant,N,East,large matrix,Hyptcro,Hypotrachyna croceopustulata
Tolerant,N,East,small matrix,Myeobs,Myelochroa obsessa
Tolerant,N,East,small matrix,Pharub,Phaeophyscia rubropulchra
Tolerant,N,East,large matrix,Flaacap,Flavoparmelia caperata
Tolerant,N,East,large matrix,Flaabal,Flavoparmelia baltimorensis
Tolerant,N,East,large matrix,Punper,Punctelia perreticulata
Tolerant,N,East,large matrix,Punapp,Punctelia appalachensis
Tolerant,N,East,large matrix,Parmstu,Parmotrema stuppeum
Tolerant,N,East,large matrix,Punmis,Punctelia missouriensis
Tolerant,N,East,small matrix,Phymil,Physcia millegrana
