Plot,N_sensitive,N_oligo,N_For,N_Cyan,spp_rich
823,16,14,7,6,29
826,9,5,1,0,11
827,12,11,7,1,17
829,12,13,7,0,20
831,15,13,10,0,21
834,17,16,9,0,19
835,9,10,5,0,11
837,10,11,4,0,14
840,14,14,7,0,18
842,14,12,7,0,22
844,13,12,8,0,21
849,14,14,5,0,21
851,16,18,10,1,27
853,11,11,6,0,15
855,9,6,2,0,9
856,14,13,8,0,18
858,14,13,8,0,18
860,12,10,5,0,21
862,12,10,4,1,16
864,17,16,9,1,27
866,12,9,6,0,14
870,14,16,8,1,17
872,16,16,10,0,23
874,12,10,5,1,17
876,16,14,8,1,24
877,5,6,3,1,7
881,11,10,6,0,12
882,22,17,4,10,33
884,11,10,6,0,20
886,8,8,4,1,10
887,7,7,4,0,11
891,8,8,5,1,8
893,10,10,6,1,10
895,18,14,6,5,29
896,14,14,7,0,15
898,11,10,4,1,17
902,12,10,7,1,15
904,14,13,6,1,15
905,6,6,4,0,7
907,10,10,7,1,10
908,13,9,4,2,21
910,10,11,5,1,15
912,17,17,9,0,19
914,9,9,6,1,11
915,6,6,3,1,6
916,10,9,6,1,13
917,11,11,6,1,12
919,11,11,6,1,12
921,10,9,5,1,10
923,9,9,6,1,9
925,14,13,9,1,14
927,9,4,3,1,17
929,16,10,7,1,33
930,15,11,6,0,25
932,20,17,8,4,35
933,15,16,9,0,19
934,15,16,10,1,23
936,11,11,7,1,16
937,16,16,9,1,19
938,8,8,6,1,8
939,13,13,10,1,16
940,6,6,4,1,6
942,9,9,5,1,10
943,5,5,4,0,5
946,12,12,8,1,13
947,13,10,5,1,22
948,20,18,10,7,36
950,14,15,9,0,20
951,16,13,9,0,17
953,13,12,5,0,16
954,9,8,5,1,11
955,12,12,8,1,12
956,7,7,4,1,7
957,6,6,4,1,6
959,17,17,8,1,18
961,9,9,6,1,9
963,20,15,8,6,31
965,12,11,6,0,21
967,10,10,6,1,11
969,6,6,4,1,6
970,14,15,9,1,18
971,6,6,4,1,6
972,6,6,4,1,6
973,10,11,6,1,12
975,7,7,4,2,18
977,13,10,7,1,26
979,12,11,5,0,16
981,11,9,4,0,13
983,9,9,5,1,9
984,5,5,3,1,5
985,16,14,8,1,26
986,19,14,8,5,30
987,7,9,9,0,13
990,10,9,3,0,11
991,5,5,3,1,6
993,8,8,5,1,8
994,7,7,5,1,7
996,19,15,9,7,31
997,15,14,8,5,28
998,11,9,2,7,22
999,6,6,4,1,6
1001,8,8,5,1,9
1002,15,15,10,1,20
1003,7,8,6,0,8
1005,15,14,7,4,23
1007,14,11,7,4,23
1008,16,13,7,6,27
1011,17,15,2,13,29
1013,16,15,3,8,23
1014,9,9,7,1,9
1016,10,10,7,1,10
1017,9,9,5,1,10
1019,8,8,5,1,8
1020,12,10,7,1,12
1021,19,16,9,4,27
1024,20,15,5,4,26
1025,17,12,5,2,23
1027,10,7,1,0,13
1028,17,15,6,2,27
1030,14,11,8,0,23
1032,15,15,7,1,19
1033,7,6,4,0,8
1035,9,9,6,1,10
1037,9,9,6,1,9
1039,12,12,9,1,12
1040,10,10,6,1,11
1041,9,9,7,1,9
1042,21,16,9,5,31
1044,7,6,5,1,16
1048,11,8,4,0,14
1049,16,15,7,4,22
1051,12,11,5,0,18
1053,14,13,7,2,20
1054,13,10,6,0,18
1055,20,17,7,1,28
1057,14,12,6,0,18
1059,16,16,9,0,18
1060,10,10,7,1,10
1061,14,15,10,0,16
1062,8,8,6,1,8
1063,11,11,7,1,12
1065,14,10,4,5,26
1066,23,17,9,7,32
1067,17,14,9,0,23
1068,11,9,6,0,16
1069,10,12,7,0,21
1070,16,14,7,1,21
1072,15,15,3,8,22
1073,15,14,7,0,23
1074,11,12,7,0,13
1076,10,10,3,1,19
1078,11,10,5,0,16
1079,6,6,4,0,6
1081,13,11,7,0,14
1083,12,13,7,1,21
1085,9,9,6,1,11
1087,10,10,6,1,10
1088,20,17,9,5,32
1090,7,4,4,0,15
1091,14,13,7,1,27
1093,11,9,4,0,19
1094,16,14,4,5,24
1097,15,16,4,6,25
1098,16,14,5,1,22
1100,12,12,6,1,19
1101,12,11,5,0,14
1102,10,10,7,0,11
1104,12,12,6,0,13
1105,14,15,7,1,16
1107,13,14,9,1,14
1108,6,6,3,1,6
1109,10,10,7,1,10
1110,9,11,7,1,12
1112,16,16,9,1,23
1114,16,12,5,5,23
1116,9,7,3,6,16
1119,11,7,5,5,18
1120,17,18,5,8,27
1121,18,15,6,5,25
1123,21,19,7,4,28
1124,6,4,2,0,9
1126,14,11,5,0,19
1127,15,15,9,1,26
1128,15,17,10,0,19
1129,17,18,10,0,22
1131,14,14,7,1,15
1132,14,16,9,1,18
1133,6,6,4,1,6
1134,8,8,6,1,8
1136,8,8,6,1,8
1137,17,15,3,7,22
1139,11,10,5,1,19
1140,11,10,4,1,16
