megadbid,Area,state,latactdd,lonactdd,elevuse_m,coast_km,maxaug_c,mindec_c,continen,precip_cm,rh_ann,raindays,cmd10yr,ecoreg,hw_plot_LG,bahwdftac,pct_hwd,year,N,S,hdep5yroll,ph_5y_roll,3yrSO2ugm3,spp_rich,Sscores,Nscores,N(eutroph),N(mesotroph),N(oligotroph),%oligotrophs,%mesotrophs,%eutrophs,olig:eutro,olig+meso:eutro,N(intermediate),N(sensitive),N(tolerant),% sens,% inter,% tol,sens:tol,sens+inter:tol,N(Cya l),N(Cya s-m),N(For p),N(For sh),N(Mtx m-l),N(Mtx s),% Cya l,% Cya s-m,% For p,% For sh,% Mtx m-l,% Mtx s,% Cya,% For
5406,West,Alaska,57.51,-135.54,2,0,17.45,-1.71,19.16,237,,,0,4,1,,,1982,0.75,1.47,,,0.347,6,4.780688569,,0,1,2,0.666666667,0.333333333,0,,,1,3,2,0.5,0.166666667,0.333333333,1.5,2,0,1,0,1,3,1,0,0.166666667,0,0.166666667,0.5,0.166666667,0.166666667,0.166666667
5417,West,Alaska,57.54,-136.03,1,0,17.04,-1.15,18.19,282,,,0,4,0,,,1982,0.75,1.47,,,0.347,5,2.125152115,,0,0,3,1,0,0,,,0,5,0,1,0,0,,,1,1,0,1,1,1,0.2,0.2,0,0.2,0.2,0.2,0.4,0.2
5073,West,Alaska,56.54,-132.55,76,0,17.45,-1.54,18.99,216,,,0,4,0,,,1989,0.75,1.47,,,0.347,6,,1.997907041,1,0,5,0.833333333,0,0.166666667,5,5,1,3,1,0.6,0.2,0.2,3,4,5,0,0,0,1,0,0.833333333,0,0,0,0.166666667,0,0.833333333,0
5060,West,Alaska,56.66,-132.78,91,6,17.09,-3.11,20.2,287,,,0,4,0,,,1989,0.75,1.47,,,0.347,12,4.054456446,2.129614595,0,3,7,0.7,0.3,0,,,1,7,2,0.7,0.1,0.2,3.5,4,0,0,2,1,6,3,0,0,0.166666667,0.083333333,0.5,0.25,0,0.25
5061,West,Alaska,56.67,-132.73,107,3,17.23,-2.33,19.56,265,,,0,4,0,,,1989,0.75,1.47,,,0.347,21,3.766769443,1.773430106,0,3,16,0.842105263,0.157894737,0,,,4,10,5,0.52631579,0.210526316,0.263157895,2,2.8,1,0,4,1,7,8,0.047619048,0,0.190476191,0.047619048,0.333333333,0.380952381,0.047619048,0.238095238
5063,West,Alaska,56.2,-131.62,3,9,18.56,-1.96,20.52,222,,,0,4,0,,,1989,0.75,1.47,,,0.347,11,4.438739874,3.592057206,2,2,6,0.6,0.2,0.2,3,4,1,6,3,0.6,0.1,0.3,2,2.333333333,2,0,2,2,4,1,0.181818182,0,0.181818182,0.181818182,0.363636364,0.090909091,0.181818182,0.363636364
5064,West,Alaska,56.21,-131.62,6,9,18.34,-2.15,20.49,239,,,0,4,0,,,1989,0.75,1.47,,,0.347,12,3.492353326,2.039867987,0,2,9,0.818181818,0.181818182,0,,,2,7,1,0.7,0.2,0.1,7,9,2,0,2,1,4,3,0.166666667,0,0.166666667,0.083333333,0.333333333,0.25,0.166666667,0.25
5065,West,Alaska,56.73,-132.91,134,1,16.78,-3.07,19.85,340,,,0,4,0,,,1989,0.75,1.47,,,0.347,13,3.513889207,2.845748075,0,4,8,0.666666667,0.333333333,0,,,2,8,1,0.727272727,0.181818182,0.090909091,8,10,2,0,3,1,6,1,0.153846154,0,0.230769231,0.076923077,0.461538462,0.076923077,0.153846154,0.307692308
5066,West,Alaska,56.74,-132.85,106,4,15.05,-4.85,19.9,361,,,0,4,0,,,1989,0.75,1.47,,,0.347,12,2.226271827,1.687079896,0,2,9,0.818181818,0.181818182,0,,,1,8,1,0.8,0.1,0.1,8,9,1,0,2,1,4,4,0.083333333,0,0.166666667,0.083333333,0.333333333,0.333333333,0.083333333,0.25
5067,West,Alaska,56.74,-132.85,329,4,15.64,-4.49,20.13,378,,,0,4,0,,,1989,0.75,1.47,,,0.347,15,3.603508911,1.201470218,0,1,11,0.916666667,0.083333333,0,,,1,7,4,0.583333333,0.083333333,0.333333333,1.75,2,0,0,5,1,2,6,0,0,0.357142857,0.071428571,0.142857143,0.428571429,0,0.428571429
5068,West,Alaska,56.71,-132.14,15,13,17.77,-2.2,19.97,223,,,0,4,0,,,1989,0.75,1.47,,,0.347,30,5.2044323,2.831684977,4,2,18,0.75,0.083333333,0.166666667,4.5,5,5,10,6,0.476190476,0.238095238,0.285714286,1.666666667,2.5,7,1,3,1,9,5,0.269230769,0.038461539,0.115384615,0.038461539,0.346153846,0.192307692,0.307692308,0.153846154
