"","megadbid","Area","N","coast_km","maxaug_c","mindec_c","continen","precip_cm","CMD","Abn_Cya_l","Abn_Cya_s_m","Abn_For_p","Abn_For_sh","Abn_Mtx_m_l","Abn_Mtx_s","Abn_For_sum34_max8","Abn_Cya_sum34_max8","Abn_Mtx_sum34_max8","Abn_eutr","Abn_inter","Abn_meso","Abn_olig","Abn_sens","Abn_tol","Abn_Max_Cya","Abn_Max_For","Abn_Max_Mtx","Abn_Max_eutr","Abn_Max_inter","Abn_Max_meso","Abn_Max_olig","Abn_Max_sens","Abn_Max_tol","Abn_Log_Cya","Abn_Log_For","Abn_Log_Mtx","Abn_Log_eutr","Abn_Log_inter","Abn_Log_meso","Abn_Log_olig","Abn_Log_sens","Abn_Log_tol","Abn_Cya_sum34_max4","Abn_For_sum34_max4","Abn_Mtx_sum34_max4"
"1",5073,"West",0.75,0,17.45,-1.54,18.99,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0.001,0.001,0.01,0,0.01,0.01,0.001,0,0,0
"2",5060,"West",0.75,6,17.09,-3.11,20.2,287,0,0,0,3,0,3,3,3,0,6,0,6,3,21,9,3,0,3,3,0,3,3,3,3,3,0,0.21,0.531,0,0.1,0.1,0.1,0.1,0.1,0,6,15
"3",5061,"West",0.75,3,17.23,-2.33,19.56,265,0,3,0,3,3,3,3,6,3,6,0,12,12,57,42,15,3,3,3,0,3,3,3,3,3,0.1,0.5,1.41,0,0.1,0.1,0.1,0.1,0.1,3,15,42
"4",5063,"West",0.75,9,18.56,-1.96,20.52,222,0,3,0,3,3,3,3,6,3,6,6,6,6,30,24,9,3,3,3,3,3,3,3,3,3,0.2,0.4,0.5,0.1,0.1,0.1,0.1,0.1,0.1,6,12,15
"5",5064,"West",0.75,9,18.34,-2.15,20.49,239,0,3,0,3,3,3,3,6,3,6,0,9,6,36,27,3,3,3,3,0,3,3,3,3,3,0.2,0.3,0.7,0,0.1,0.1,0.1,0.1,0.1,6,9,21
"6",5065,"West",0.75,1,16.78,-3.07,19.85,340,0,3,0,3,3,3,0,6,3,3,0,3,12,24,27,3,3,3,3,0,3,3,3,3,3,0.11,0.4,0.52,0,0.1,0.1,0.1,0.1,0.1,3,12,15
"7",5066,"West",0.75,4,15.05,-4.85,19.9,361,0,3,0,0,3,3,3,3,3,6,0,0,0,9,9,0,3,3,3,0,0,0,3,3,0,0.1,0.111,0.233,0,0.01,0.01,0.1,0.1,0.001,3,3,6
"8",5067,"West",0.75,4,15.64,-4.49,20.13,378,0,0,0,3,0,3,3,3,0,6,0,0,0,18,15,0,0,3,3,0,0,0,3,3,0,0,0.222,0.323,0,0.01,0.001,0.1,0.1,0.01,0,6,9
"9",5068,"West",0.75,13,17.77,-2.2,19.97,223,0,3,3,3,3,3,3,6,6,6,12,12,6,57,33,18,3,3,3,3,3,3,3,3,3,0.602,0.4,1.31,0.1,0.1,0.1,0.1,0.1,0.1,18,12,39
"10",5069,"West",0.75,14,17.07,-2.77,19.84,314,0,0,0,0,0,3,4,0,0,7,0,6,0,29,20,0,0,0,4,0,3,0,4,4,0,0,0,2.712,0,0.1,0.001,1,1,0,0,0,29
"11",5070,"West",0.75,15,17.87,-2.18,20.05,214,0,3,0,3,3,3,3,6,3,6,3,6,3,33,21,9,3,3,3,3,3,3,3,3,3,0.4,0.31,0.421,0.1,0.1,0.1,0.1,0.1,0.1,12,9,12
"12",5071,"West",0.75,18,18.17,-2.14,20.31,218,5,3,3,0,0,3,0,0,6,3,0,6,12,24,21,6,3,0,3,0,3,3,3,3,3,0.82,0.011,0.13,0,0.1,0.1,0.1,0.1,0.1,24,0,3
"13",5072,"West",0.75,10,17.78,-1.93,19.71,217,0,3,3,0,0,0,0,0,6,0,6,6,3,9,9,0,3,0,0,3,3,3,3,3,0,0.421,0,0,0.1,0.1,0.1,0.1,0.1,0,12,0,0
"14",5075,"West",0.75,3,17.88,-2.3,20.18,245,0,3,0,3,3,3,3,6,3,6,0,6,3,15,15,3,3,3,3,0,3,3,3,3,3,0.1,0.202,0.313,0,0.1,0.1,0.1,0.1,0.1,3,6,9
"15",5076,"West",0.75,3,17.87,-2.32,20.19,247,0,0,0,3,3,3,3,6,0,6,0,9,9,27,27,6,0,3,3,0,3,3,3,3,3,0,0.3,0.812,0,0.1,0.1,0.1,0.1,0.1,0,9,24
"16",5077,"West",0.75,3,17.9,-2.34,20.24,231,0,0,0,3,3,3,3,6,0,6,0,9,6,36,30,9,0,3,3,0,3,3,3,3,3,0,0.41,0.91,0,0.1,0.1,0.1,0.1,0.1,0,12,27
"17",5078,"West",0.75,2,17.29,-3.21,20.5,288,0,3,0,3,3,3,3,6,3,6,0,6,3,24,15,3,3,3,3,0,3,3,3,3,3,0.2,0.2,0.522,0,0.1,0.1,0.1,0.1,0.1,6,6,15
"18",5079,"West",0.75,0,17.58,-2.27,19.85,226,0,3,0,3,3,3,3,6,3,6,0,6,12,27,30,9,3,3,3,0,3,3,3,3,3,0.1,0.301,1,0,0.1,0.1,0.1,0.1,0.1,3,9,30
"19",5080,"West",0.75,0,17.7,-2.32,20.02,237,0,0,0,4,4,4,3,8,0,7,0,7,7,25,24,8,0,4,4,0,4,4,4,4,4,0.001,3.1,1.342,0,1,1,1,1,1,0,15,13
"20",5082,"West",0.75,7,17.76,-2.02,19.78,227,0,4,3,0,0,3,0,0,7,3,6,12,13,25,25,7,4,0,3,3,3,4,4,4,4,1.602,0,0.21,0.1,0.1,1,1,1,1,22,0,6
